model,accuracy,recall_1,precision_1,f1_1,f1_macro,roc_auc,pr_auc,fn_count,fp_count
Logistic Regression,0.9313786650031192,0.7724719101123596,0.766016713091922,0.7692307692307693,0.8644639434820187,0.9571198986378086,0.8393096555463165,162,168
Random Forest,0.9665211062590975,0.9030898876404494,0.8748299319727891,0.8887353144436766,0.9345157419115948,0.9909998546483725,0.952963161966995,69,92
XGBoost,0.9769182782283219,0.9002808988764045,0.9412628487518355,0.9203158650394831,0.9534102121549999,0.9949253770229244,0.9733475453504183,71,40
MLP,0.958619255562487,0.8469101123595506,0.8701298701298701,0.8583629893238434,0.9170665549322248,0.9851895604621633,0.927308804284447,109,90
